upi_id,account_number,ifsc_code,owner_name,bank_name,account_type,device_id,true_label,is_active,created_at
aryan1@barodampay,620597777,BARB0513226,Aryan Maharaj,Bank of Baroda,individual,dev-160ecc206ebd,,True,2024-11-09
udant2@kotak,54420580882617,KKBK0700522,Udant Dewan,Kotak Mahindra Bank,individual,dev-be36c25a8934,,True,2025-11-19
gagan3@idfcfirst,4051769739,IDFB0410850,Gagan Sami,IDFC First Bank,individual,dev-694a69532231,,True,2025-10-26
ayushman4@okaxis,3256941867,UTIB0097226,Ayushman Chander,Axis Bank,individual,dev-9d42f74f356b,,True,2024-12-05
viraj5@ybl,61818077764,YESB0705165,Viraj Tiwari,Yes Bank,individual,dev-5d71f14697db,,True,2026-03-27
rushil6@oksbi,664850756550,SBIN0559207,Rushil Saini,State Bank of India,individual,dev-aa647fcb72ac,,True,2023-12-17
saumya7@idfcfirst,8028082924615579,IDFB0664313,Saumya Mall,IDFC First Bank,individual,dev-5371c06827f8,,True,2024-03-08
nathaniel8@okaxis,764719591464413,UTIB0238766,Nathaniel Sami,Axis Bank,individual,dev-72e52f4db001,,True,2023-08-10
malldugal9@barodampay,94642792727,BARB0789006,Mall-Dugal Fuel,Bank of Baroda,merchant,dev-fb5a097348c3,,True,2023-11-23
gayathri10@okicici,738551480747,ICIC0663298,Gayathri Chaudry,ICICI Bank,individual,dev-42a69d6e4cd0,,True,2023-12-03
lajita11@barodampay,701413616,BARB0103402,Lajita Chatterjee,Bank of Baroda,individual,dev-97efd82cebdf,,True,2025-06-05
hemangini12@idfcfirst,5201944470024,IDFB0671124,Hemangini Lalla,IDFC First Bank,individual,dev-3cf99e7d2064,innocent_bystander,True,2025-04-13
tripti13@idfcfirst,55842038085,IDFB0140249,Tripti Yadav,IDFC First Bank,individual,dev-e09f5b4d0d50,account_takeover,True,2025-12-18
kritika14@okhdfcbank,79731699220155,HDFC0370922,Kritika Brar,HDFC Bank,individual,dev-5b3d594fc119,,True,2024-05-20
janaki15@okicici,5929911502499,ICIC0151539,Janaki Handa,ICICI Bank,individual,dev-19f644e4891c,innocent_bystander,True,2026-05-26
chakradev16@cnrb,0736438077320,CNRB0936813,Chakradev Kari,Canara Bank,individual,dev-77879ef2623f,,True,2023-11-21
fariq17@ybl,57801239739,YESB0499306,Fariq Kaul,Yes Bank,individual,dev-0a9330803ee3,,False,2023-12-31
lajita18@okhdfcbank,9125967541,HDFC0864314,Lajita Mall,HDFC Bank,individual,dev-dd1adbcd580a,,True,2024-05-18
patlagaba19@cnrb,393145639,CNRB0521022,Patla-Gaba Fuel,Canara Bank,merchant,dev-388a54499e33,,True,2023-11-29
isha20@idfcfirst,71740915197844,IDFB0634301,Isha Kadakia,IDFC First Bank,individual,dev-e541e6c8d2a6,,True,2023-12-26
ekbal21@oksbi,357698762413941,SBIN0651931,Ekbal Garg,State Bank of India,individual,dev-aeed6df6b4dd,,True,2024-04-16
nihal22@okicici,891804531183391,ICIC0915266,Nihal Shere,ICICI Bank,individual,dev-8bb8c4eb6334,,True,2024-04-01
anamika23@okhdfcbank,701180455,HDFC0680714,Anamika Kanda,HDFC Bank,individual,dev-390c98cd32f7,,True,2024-11-27
daksh24@cnrb,0418222659420,CNRB0007075,Daksh Karnik,Canara Bank,individual,dev-1a2da55f685e,,True,2026-03-02
diya25@pnb,608889293,PUNB0802025,Diya Rattan,Punjab National Bank,individual,dev-433c519411d7,,True,2023-11-10
dominic26@cnrb,59884736622,CNRB0061133,Dominic Kakar,Canara Bank,individual,dev-d2dcc723cba1,gambling_network,True,2023-12-11
simon27@kotak,73431622796,KKBK0916348,Simon Tata,Kotak Mahindra Bank,individual,dev-c23cacda21f2,,True,2024-07-21
tara28@idfcfirst,8557602170,IDFB0202404,Tara Dhar,IDFC First Bank,individual,dev-6c28f298484a,innocent_bystander,True,2026-02-01
