txn_ref,sender_upi_id,receiver_upi_id,amount,currency,device_id,transaction_type,status,true_label,scenario,created_at
TXN00030823,wazir5775@okaxis,saini941@idfcfirst,1363.15,INR,dev-3f1e66f322e7,P2M,completed,,,2026-07-16 00:07:59.000000
TXN00021392,odika2396@ybl,benjamin438@barodampay,544.03,INR,dev-e731f6186368,P2P,completed,,,2026-07-16 00:17:29.000000
TXN00033625,bediramaswamy5894@okaxis,pateldayal5394@oksbi,699.03,INR,dev-950ba296ed69,P2M,completed,,,2026-07-16 00:26:23.000000
TXN00014197,pateldayal5394@oksbi,dubesampath798@kotak,1251.53,INR,dev-cdfea4bf7d8e,P2M,completed,,,2026-07-16 00:48:22.000000
TXN00013398,vrinda5979@barodampay,pateldayal5394@oksbi,295.89,INR,dev-531276ae571c,P2M,pending,,,2026-07-16 00:49:16.000000
TXN00024491,gaurav1136@okicici,pateldayal5394@oksbi,1696.4,INR,dev-b4b1be46c256,P2M,completed,,,2026-07-16 00:56:03.000000
TXN00026178,pateldayal5394@oksbi,chana5441@okaxis,340.97,INR,dev-cdfea4bf7d8e,P2M,completed,,,2026-07-16 01:41:21.000000
TXN00023696,pateldayal5394@oksbi,chaman3308@oksbi,2036.52,INR,dev-cdfea4bf7d8e,P2P,completed,,,2026-07-16 01:50:02.000000
TXN00005054,pateldayal5394@oksbi,netra1277@oksbi,1443.59,INR,dev-cdfea4bf7d8e,P2P,completed,,,2026-07-16 02:52:18.000000
TXN00038590,pateldayal5394@oksbi,kibe2686@barodampay,5647.79,INR,dev-cdfea4bf7d8e,P2M,completed,,,2026-07-16 03:03:52.000000
TXN00011986,azad5067@oksbi,takom3608@ybl,614.41,INR,dev-1bee2b1cd2fb,P2M,completed,,,2026-07-16 03:07:08.000000
TXN00025553,ria5611@cnrb,balay1568@barodampay,123.62,INR,dev-1c0bcbf94b11,P2M,completed,,,2026-07-16 03:09:16.000000
TXN00044037,bhavini3922@oksbi,abhiram2227@cnrb,44.6,INR,dev-ae83e7f804a8,P2P,completed,,,2026-07-16 04:07:47.000000
TXN00042960,biswas1417@okicici,pateldayal5394@oksbi,514.85,INR,dev-af68cc6b8700,P2M,completed,,,2026-07-16 04:15:34.000000
TXN00028908,pateldayal5394@oksbi,bassi2672@kotak,3118.77,INR,dev-cdfea4bf7d8e,P2M,completed,,,2026-07-16 04:24:06.000000
TXN00007205,dubesampath798@kotak,ayaan3967@okhdfcbank,397.0,INR,dev-d50a9f2b2466,P2P,completed,,,2026-07-16 04:38:57.000000
TXN00027976,finn4260@ybl,pateldayal5394@oksbi,239.7,INR,dev-207dc98ab6fb,P2M,completed,,,2026-07-16 04:48:01.000000
TXN00042404,kiaan5022@okhdfcbank,hans5501@oksbi,777.93,INR,dev-9a2c2c9e76fe,P2M,completed,,,2026-07-16 05:07:04.000000
TXN00042809,bediramaswamy5894@okaxis,dasloke570@okicici,426.46,INR,dev-1f86af8e1521,P2M,completed,,,2026-07-16 05:16:47.000000
TXN00027974,ekaraj2778@ybl,pateldayal5394@oksbi,492.95,INR,dev-aafe656aea74,P2M,completed,,,2026-07-16 05:24:33.000000
TXN00001941,maanas2085@pnb,pateldayal5394@oksbi,2757.89,INR,dev-118e1e8d5286,P2M,completed,,,2026-07-16 05:43:55.000000
TXN00032412,megha2957@okicici,pateldayal5394@oksbi,694.56,INR,dev-daf2094c6932,P2M,completed,,,2026-07-16 05:46:13.000000
TXN00004469,harish220@kotak,sekhonmutti1219@okaxis,539.15,INR,dev-6f30f5391f03,P2M,completed,,,2026-07-16 05:46:17.000000
TXN00012320,pateldayal5394@oksbi,mannan2261@ybl,342.74,INR,dev-cdfea4bf7d8e,P2M,completed,,,2026-07-16 06:13:14.000000
TXN00000205,pateldayal5394@oksbi,borradhaliwal327@kotak,1101.98,INR,dev-cdfea4bf7d8e,P2M,completed,,,2026-07-16 06:13:55.000000
TXN00030752,mekhala412@kotak,tanknadig2616@cnrb,3228.72,INR,dev-8a435c4a4610,P2M,completed,,,2026-07-16 06:27:17.000000
TXN00025829,bhargavasom4495@oksbi,pateldayal5394@oksbi,2008.98,INR,dev-0f0a8e18aac0,P2M,completed,,,2026-07-16 06:30:47.000000
TXN00044069,varenya1740@okaxis,saranbarad5886@kotak,288.86,INR,dev-a0d0c7e25aa3,P2M,completed,,,2026-07-16 06:38:36.000000
TXN00013553,sunderbath5841@okicici,pateldayal5394@oksbi,1192.27,INR,dev-bb7b81ff5c74,P2M,completed,,,2026-07-16 06:44:39.000000
TXN00046952,vasatika4885@okhdfcbank,siya6563@cnrb,5000.0,INR,dev-00f623f97afe,P2P,completed,layering_chain,layering_chain,2026-07-16 06:49:59.000000
TXN00002865,pateldayal5394@oksbi,osha4976@okaxis,1511.32,INR,dev-cdfea4bf7d8e,P2P,completed,,,2026-07-16 06:51:42.000000
TXN00046953,siya6563@cnrb,akshay6564@oksbi,5000.0,INR,dev-1b3c21a2c345,P2P,completed,layering_chain,layering_chain,2026-07-16 06:52:22.000000
TXN00046954,akshay6564@oksbi,adweta6565@ybl,4742.99,INR,dev-120a25098378,P2P,completed,layering_chain,layering_chain,2026-07-16 07:01:58.000000
TXN00007436,nikita1297@pnb,pateldayal5394@oksbi,231.94,INR,dev-04825445e5ee,P2M,completed,,,2026-07-16 07:02:23.000000
TXN00050415,pahal6624@kotak,vasudha2936@okicici,184.67,INR,dev-fe712ce38dd7,P2P,completed,,innocent_bystander,2026-07-16 07:04:03.000000
TXN00010266,pateldayal5394@oksbi,shroff3272@okaxis,527.58,INR,dev-cdfea4bf7d8e,P2M,completed,,,2026-07-16 07:04:07.000000
TXN00046955,adweta6565@ybl,amaira6566@kotak,4479.65,INR,dev-8e4272b4544f,P2P,completed,layering_chain,layering_chain,2026-07-16 07:04:51.000000
TXN00017422,chanchal2310@idfcfirst,edhitha3774@kotak,85.98,INR,dev-3de4b41f6563,P2P,completed,,,2026-07-16 07:08:28.000000
TXN00025058,mistrypatla2950@barodampay,pateldayal5394@oksbi,2022.83,INR,dev-18487eb226dc,P2M,pending,,,2026-07-16 07:08:46.000000
TXN00042427,ishwar5785@barodampay,mittermaharaj432@pnb,455.01,INR,dev-e9d8f1c8e3a4,P2M,completed,,,2026-07-16 07:09:10.000000
TXN00017917,deshpandemital4158@idfcfirst,pateldayal5394@oksbi,1617.66,INR,dev-f9283db0e20a,P2M,completed,,,2026-07-16 07:11:19.000000
TXN00035734,pateldayal5394@oksbi,frederick207@ybl,183.02,INR,dev-cdfea4bf7d8e,P2P,completed,,,2026-07-16 07:11:35.000000
TXN00040261,prisha105@idfcfirst,widisha4684@kotak,146.96,INR,dev-665ab2953f0a,P2P,failed,,,2026-07-16 07:12:08.000000
TXN00018350,ridhi1886@pnb,pateldayal5394@oksbi,656.84,INR,dev-a82496112a34,P2M,completed,,,2026-07-16 07:12:10.000000
TXN00046956,amaira6566@kotak,watika6567@cnrb,4159.37,INR,dev-3760fc5b42cb,P2P,completed,layering_chain,layering_chain,2026-07-16 07:14:16.000000
TXN00046957,watika6567@cnrb,henry6568@ybl,3922.58,INR,dev-8fa0283597df,P2P,completed,layering_chain,layering_chain,2026-07-16 07:21:21.000000
TXN00009780,fitan3770@idfcfirst,oscar1267@cnrb,163.39,INR,dev-aff9a0403d56,P2P,completed,,,2026-07-16 07:22:34.000000
TXN00003564,balendra5753@kotak,pateldayal5394@oksbi,2237.28,INR,dev-ab66ecd70be9,P2M,completed,,,2026-07-16 07:24:40.000000
TXN00046958,henry6568@ybl,teerth6569@ybl,3684.38,INR,dev-730912b3e17e,P2P,completed,layering_chain,layering_chain,2026-07-16 07:29:49.000000
TXN00050241,isaac6520@ybl,ekta2302@idfcfirst,123.72,INR,dev-d4a19201f2d6,P2P,completed,,innocent_bystander,2026-07-16 07:30:56.000000
TXN00000642,behl2984@ybl,pateldayal5394@oksbi,883.9,INR,dev-d754c7bc3507,P2M,completed,,,2026-07-16 07:32:44.000000
TXN00019102,pateldayal5394@oksbi,chana3785@idfcfirst,545.44,INR,dev-cdfea4bf7d8e,P2M,completed,,,2026-07-16 07:33:27.000000
TXN00022154,sarinsami2203@cnrb,ayushman930@okaxis,48.32,INR,dev-a5f8993ed02b,P2P,completed,,,2026-07-16 07:34:48.000000
TXN00014204,pateldayal5394@oksbi,rau4619@okicici,209.84,INR,dev-cdfea4bf7d8e,P2M,completed,,,2026-07-16 07:44:07.000000
TXN00029041,sandal149@idfcfirst,bala174@okicici,1364.19,INR,dev-0eeea59e15aa,P2M,completed,,,2026-07-16 07:47:45.000000
TXN00017306,prasad3788@cnrb,pateldayal5394@oksbi,231.63,INR,dev-2b8356bc0437,P2M,completed,,,2026-07-16 07:50:53.000000
TXN00017559,pateldayal5394@oksbi,ravel211@ybl,6536.78,INR,dev-cdfea4bf7d8e,P2M,completed,,,2026-07-16 07:55:41.000000
TXN00009603,nandini800@barodampay,pateldayal5394@oksbi,3588.58,INR,dev-129781953599,P2M,completed,,,2026-07-16 08:02:09.000000
TXN00034144,ekani2465@cnrb,mittermaharaj432@pnb,733.22,INR,dev-bb02c7e06a55,P2M,failed,,,2026-07-16 08:03:03.000000
TXN00044286,pateldayal5394@oksbi,prisha1678@okaxis,568.74,INR,dev-cdfea4bf7d8e,P2P,completed,,,2026-07-16 08:04:39.000000
TXN00032930,avni1848@oksbi,barman852@cnrb,1361.29,INR,dev-c686838bd50b,P2M,completed,,,2026-07-16 08:06:04.000000
TXN00033080,pateldayal5394@oksbi,chana3785@idfcfirst,530.54,INR,dev-cdfea4bf7d8e,P2M,completed,,,2026-07-16 08:06:25.000000
TXN00041077,pandeylanka3326@okicici,narulasrinivas3051@cnrb,447.97,INR,dev-20d9dd91cdb5,P2M,completed,,,2026-07-16 08:06:30.000000
TXN00014749,ranveer1684@barodampay,pateldayal5394@oksbi,1530.46,INR,dev-dffac981ef44,P2M,completed,,,2026-07-16 08:06:44.000000
TXN00042109,dhingrabains3427@okhdfcbank,pateldayal5394@oksbi,1141.36,INR,dev-aff9a4f7f342,P2M,completed,,,2026-07-16 08:08:11.000000
TXN00004071,pateldayal5394@oksbi,halder3757@oksbi,669.99,INR,dev-cdfea4bf7d8e,P2M,completed,,,2026-07-16 08:09:15.000000
TXN00025367,pateldayal5394@oksbi,ekapad4978@oksbi,2166.95,INR,dev-cdfea4bf7d8e,P2P,completed,,,2026-07-16 08:11:13.000000
TXN00010972,yashasvi4844@pnb,pateldayal5394@oksbi,850.13,INR,dev-f5093e650575,P2M,completed,,,2026-07-16 08:11:53.000000
TXN00004589,finn2299@cnrb,anthony3237@cnrb,356.08,INR,dev-19a34039d295,P2P,completed,,,2026-07-16 08:12:23.000000
TXN00033716,sood2339@kotak,vohra4968@ybl,584.68,INR,dev-d5319d007385,P2M,completed,,,2026-07-16 08:12:33.000000
TXN00011867,garima3941@barodampay,pateldayal5394@oksbi,508.79,INR,dev-f77ca0f9f420,P2M,completed,,,2026-07-16 08:13:32.000000
TXN00018194,narain4517@ybl,pateldayal5394@oksbi,862.37,INR,dev-14921704c7f0,P2M,completed,,,2026-07-16 08:19:42.000000
TXN00006933,manndhaliwal4474@okaxis,pateldayal5394@oksbi,754.59,INR,dev-c4020b05c2a0,P2M,completed,,,2026-07-16 08:20:24.000000
TXN00025396,ranveer1578@barodampay,zachariahbuch160@okicici,1615.99,INR,dev-bb4aefe64a69,P2M,completed,,,2026-07-16 08:24:41.000000
TXN00019683,banik4539@oksbi,sarinsunder170@kotak,2747.43,INR,dev-6659b0a427c6,P2M,completed,,,2026-07-16 08:26:43.000000
TXN00029941,pateldayal5394@oksbi,baradbahri5579@idfcfirst,39.31,INR,dev-cdfea4bf7d8e,P2M,completed,,,2026-07-16 08:27:28.000000
TXN00029046,radha747@cnrb,pateldayal5394@oksbi,346.1,INR,dev-154c1f65b3bb,P2M,completed,,,2026-07-16 08:29:59.000000
TXN00005326,vanya4675@ybl,pateldayal5394@oksbi,1898.38,INR,dev-37a892267a27,P2M,completed,,,2026-07-16 08:30:42.000000
